TeamId,TeamName,SubmissionDate,Score
8460784,"CHOI, Jun Seok","2022-04-11 12:13:10",0.83977
8389135,"No No Nodes","2022-04-14 13:49:05",0.81215
8389125,"Team 2359","2022-04-11 18:32:29",0.80386
8389129,BOTW2Delayed,"2022-04-02 04:24:19",0.80110
8421143,tlkok21,"2022-04-12 07:46:38",0.79834
8463366,TOMtomTOM,"2022-04-14 15:59:33",0.71270
8395262,"Kwok Chun Kiu","2022-04-08 05:32:04",0.69060
8390149,Test,"2022-03-29 17:50:44",0.53591
8386057,MLP,"2022-03-29 02:56:33",0.47513
8386029,LR,"2022-03-29 02:40:32",0.38121
