id,label
463825,Class_5
1121569,Class_2
1105531,Class_6
14428,Class_0
14429,Class_0
74749,Class_5
14430,Class_0
14431,Class_0
1132434,Class_2
648121,Class_2
582511,Class_5
688849,Class_6
1997,Class_5
1131728,Class_5
1106298,Class_0
86359,Class_4
647413,Class_1
1120880,Class_2
1131734,Class_2
562940,Class_0
230879,Class_2
1104851,Class_5
1152075,Class_5
58758,Class_1
230884,Class_2
34082,Class_0
1132486,Class_2
39890,Class_6
66782,Class_5
218410,Class_4
647447,Class_1
1117184,Class_3
66794,Class_6
227178,Class_1
936,Class_3
940,Class_3
575292,Class_1
941,Class_3
1109185,Class_2
85688,Class_5
28202,Class_4
50807,Class_2
379288,Class_3
1154229,Class_6
1109199,Class_4
118682,Class_5
153598,Class_4
1154251,Class_2
62417,Class_6
1125909,Class_6
79809,Class_6
739280,Class_2
70441,Class_3
70442,Class_4
70444,Class_4
79817,Class_6
129558,Class_3
892139,Class_4
576725,Class_1
28254,Class_2
1246,Class_5
237376,Class_5
27531,Class_2
397488,Class_1
42847,Class_2
42848,Class_2
155736,Class_2
155738,Class_2
39124,Class_5
39127,Class_0
39130,Class_5
1153577,Class_1
335733,Class_1
28290,Class_4
18815,Class_5
1136814,Class_1
1120169,Class_0
82087,Class_2
178209,Class_0
139738,Class_2
82090,Class_2
18834,Class_4
39165,Class_5
190698,Class_1
1125992,Class_3
1109957,Class_4
46470,Class_5
46476,Class_0
1129570,Class_1
1071981,Class_4
1129573,Class_1
39199,Class_2
12337,Class_2
29723,Class_2
694759,Class_1
46491,Class_5
1128856,Class_0
1107010,Class_3
643199,Class_1
1104182,Class_4
12347,Class_2
63915,Class_0
519353,Class_6
608292,Class_1
1121603,Class_2
1130356,Class_4
12359,Class_2
192850,Class_5
7032,Class_5
1128881,Class_5
140569,Class_2
1114331,Class_1
7041,Class_2
561581,Class_6
561582,Class_6
192870,Class_2
1113614,Class_4
1102761,Class_0
116528,Class_5
561595,Class_6
94416,Class_0
5600,Class_3
1000012,Class_0
1114364,Class_2
1121659,Class_6
66809,Class_2
6343,Class_3
212777,Class_0
583318,Class_1
709518,Class_2
350319,Class_2
116553,Class_1
170338,Class_4
179706,Class_2
1112929,Class_2
656231,Class_3
14531,Class_3
1106370,Class_5
1109208,Class_1
1114398,Class_2
95188,Class_3
510718,Class_6
208345,Class_3
6378,Class_4
22563,Class_5
10981,Class_2
110041,Class_1
14549,Class_5
95198,Class_3
6385,Class_4
575331,Class_1
568045,Class_0
1136110,Class_2
1131828,Class_3
67584,Class_6
243274,Class_2
135464,Class_2
1105672,Class_5
93755,Class_5
756061,Class_2
522338,Class_6
219239,Class_5
61073,Class_4
262178,Class_1
686015,Class_5
1110024,Class_3
613409,Class_2
686030,Class_5
227286,Class_2
45061,Class_5
646836,Class_1
1108551,Class_5
13885,Class_2
1104999,Class_4
566653,Class_3
1127430,Class_1
299197,Class_2
1135455,Class_2
97377,Class_5
592826,Class_0
566664,Class_3
633030,Class_2
633031,Class_2
686061,Class_5
592830,Class_0
573964,Class_1
1155073,Class_0
17476,Class_4
17477,Class_4
190706,Class_1
28336,Class_1
573978,Class_1
1107861,Class_5
17488,Class_4
1128198,Class_1
1108597,Class_3
103515,Class_1
27623,Class_4
200480,Class_3
103529,Class_3
649730,Class_2
39210,Class_2
46501,Class_6
27632,Class_5
649739,Class_2
1119471,Class_5
103531,Class_3
470511,Class_3
509233,Class_5
236759,Class_2
237489,Class_2
1152944,Class_4
1118764,Class_5
643221,Class_6
212097,Class_3
608326,Class_1
643239,Class_6
1131116,Class_1
202639,Class_2
141324,Class_1
294145,Class_0
1128927,Class_0
561610,Class_6
561611,Class_6
147870,Class_2
248395,Class_2
1128935,Class_0
241133,Class_4
141342,Class_1
141347,Class_1
1128946,Class_1
1131164,Class_6
12439,Class_2
1131167,Class_6
1129683,Class_1
359067,Class_3
117315,Class_1
117316,Class_1
144212,Class_1
1106401,Class_6
1134022,Class_1
13193,Class_4
1131192,Class_6
1107136,Class_5
1131195,Class_2
1128982,Class_1
121792,Class_2
653441,Class_6
385251,Class_5
1126011,Class_6
1134031,Class_0
642593,Class_2
1115166,Class_3
737204,Class_2
118079,Class_2
1122460,Class_2
1114442,Class_1
589923,Class_6
1121739,Class_4
626574,Class_6
1126037,Class_2
645452,Class_6
753264,Class_2
1126044,Class_2
74920,Class_6
74921,Class_6
1105718,Class_2
48764,Class_1
48768,Class_1
1113742,Class_1
74937,Class_6
575402,Class_1
168958,Class_2
78508,Class_6
289085,Class_2
78511,Class_1
308232,Class_0
682508,Class_6
75691,Class_2
75693,Class_2
75694,Class_2
155158,Class_0
1105764,Class_4
1152259,Class_6
579008,Class_1
1128201,Class_1
1133390,Class_5
1118083,Class_2
78549,Class_2
604073,Class_2
595056,Class_1
1118092,Class_4
1125386,Class_5
78552,Class_2
78555,Class_2
78557,Class_2
646900,Class_1
595063,Class_1
648369,Class_2
1128227,Class_1
89416,Class_6
578306,Class_2
683294,Class_6
440815,Class_6
126867,Class_3
126868,Class_3
72056,Class_2
1119505,Class_1
1128256,Class_5
1108656,Class_0
71336,Class_2
1109392,Class_2
40886,Class_3
1115959,Class_2
578347,Class_2
284023,Class_2
345340,Class_4
621555,Class_5
118873,Class_2
8687,Class_0
226698,Class_2
578365,Class_2
1135589,Class_2
8696,Class_5
1118823,Class_5
411005,Class_2
509315,Class_1
171954,Class_2
230300,Class_4
1105011,Class_6
1121057,Class_3
592973,Class_1
592975,Class_1
48066,Class_5
248431,Class_1
1121063,Class_5
592986,Class_1
48075,Class_0
289885,Class_3
592993,Class_1
592996,Class_1
28489,Class_4
590022,Class_6
111676,Class_6
13205,Class_2
13208,Class_2
102938,Class_2
102939,Class_2
416867,Class_5
72805,Class_0
574009,Class_1
294239,Class_2
1131223,Class_6
77108,Class_1
5064,Class_3
5069,Class_3
1131230,Class_6
40125,Class_2
1123215,Class_5
20526,Class_4
20528,Class_4
77112,Class_1
107251,Class_5
107252,Class_5
5075,Class_3
126128,Class_2
734406,Class_2
40131,Class_2
703953,Class_6
40135,Class_2
1131257,Class_6
1123239,Class_2
1129778,Class_1
662250,Class_2
711994,Class_2
273949,Class_2
1131266,Class_6
1130539,Class_3
377303,Class_1
179180,Class_2
1129798,Class_1
1114512,Class_0
1110950,Class_0
12558,Class_2
853114,Class_2
853115,Class_2
853116,Class_2
853118,Class_2
1114526,Class_5
212930,Class_4
206371,Class_1
105856,Class_2
463,Class_3
20592,Class_2
51049,Class_6
20593,Class_2
83746,Class_2
124734,Class_5
106590,Class_6
1133417,Class_6
1125402,Class_6
1153024,Class_6
853155,Class_2
1118120,Class_2
1105810,Class_3
1113831,Class_1
646289,Class_6
1106546,Class_6
31479,Class_2
31483,Class_5
31489,Class_2
94639,Class_1
631015,Class_2
645571,Class_6
1106568,Class_2
430711,Class_2
7296,Class_2
1132731,Class_1
1153064,Class_5
93923,Class_0
1134197,Class_2
87363,Class_1
395540,Class_2
395547,Class_6
50381,Class_6
1129015,Class_1
126909,Class_6
143676,Class_2
395553,Class_6
752684,Class_2
1129021,Class_1
19045,Class_1
631052,Class_2
126912,Class_6
116790,Class_6
5869,Class_2
579108,Class_1
683355,Class_6
1105877,Class_6
59772,Class_2
243483,Class_1
126926,Class_6
155277,Class_2
1128314,Class_1
1105887,Class_0
1110209,Class_6
307656,Class_1
199571,Class_5
1152394,Class_2
60560,Class_6
595193,Class_1
990075,Class_4
119686,Class_2
1154520,Class_2
28504,Class_4
1154524,Class_0
1154525,Class_0
1129096,Class_4
1128369,Class_1
96845,Class_1
380341,Class_6
8766,Class_0
1110256,Class_5
55403,Class_0
389715,Class_5
1153816,Class_1
131317,Class_2
260979,Class_2
264556,Class_2
35852,Class_2
1119671,Class_2
1153853,Class_1
1112417,Class_6
1153860,Class_1
1153861,Class_2
35863,Class_4
1121176,Class_3
1131301,Class_6
1131305,Class_6
1105148,Class_2
134219,Class_1
671052,Class_2
1131312,Class_6
156794,Class_4
1153896,Class_1
1153899,Class_1
167656,Class_5
239829,Class_5
1104435,Class_6
187260,Class_0
231198,Class_2
1131334,Class_6
1131335,Class_6
142268,Class_6
504,Class_6
506,Class_6
228990,Class_2
228992,Class_2
1132073,Class_2
654326,Class_1
1116044,Class_6
1131359,Class_1
643485,Class_6
654339,Class_1
1107319,Class_5
132821,Class_2
360028,Class_0
214472,Class_2
646334,Class_6
653628,Class_0
1107325,Class_4
166989,Class_5
1111788,Class_2
151708,Class_6
118259,Class_4
32260,Class_5
137130,Class_6
92589,Class_5
118260,Class_4
124828,Class_5
141596,Class_2
197452,Class_3
646357,Class_6
1153106,Class_2
30817,Class_2
642798,Class_6
1130676,Class_2
1107355,Class_4
1118209,Class_5
987188,Class_2
87417,Class_1
23545,Class_4
23546,Class_0
1113926,Class_5
94713,Class_6
1107367,Class_4
987197,Class_5
521183,Class_3
1114664,Class_5
69296,Class_1
51180,Class_5
43165,Class_2
1132815,Class_3
1107385,Class_2
100197,Class_2
520471,Class_5
215912,Class_2
61312,Class_1
1129106,Class_3
